2
2
0: 1234//3412//2143//4321//
1: 1234//3412//2341//4123//
2: 1234//3412//4123//2341//
3: 1234//3412//4321//2143//
4: 1234//3421//2143//4312//
5: 1234//3421//4312//2143//
6: 1234//4312//2143//3421//
7: 1234//4312//3421//2143//
8: 1234//4321//2143//3412//
9: 1234//4321//2413//3142//
10: 1234//4321//3142//2413//
11: 1234//4321//3412//2143//
12: 1243//3412//2134//4321//
13: 1243//3412//4321//2134//
14: 1243//3421//2134//4312//
15: 1243//3421//2314//4132//
16: 1243//3421//4132//2314//
17: 1243//3421//4312//2134//
18: 1243//4312//2134//3421//
19: 1243//4312//2431//3124//
20: 1243//4312//3124//2431//
21: 1243//4312//3421//2134//
22: 1243//4321//2134//3412//
23: 1243//4321//3412//2134//
24: 1324//2413//3142//4231//
25: 1324//2413//3241//4132//
26: 1324//2413//4132//3241//
27: 1324//2413//4231//3142//
28: 1324//2431//3142//4213//
29: 1324//2431//4213//3142//
30: 1324//4213//2431//3142//
31: 1324//4213//3142//2431//
32: 1324//4231//2143//3412//
33: 1324//4231//2413//3142//
34: 1324//4231//3142//2413//
35: 1324//4231//3412//2143//
36: 1342//2413//3124//4231//
37: 1342//2413//4231//3124//
38: 1342//2431//3124//4213//
39: 1342//2431//3214//4123//
40: 1342//2431//4123//3214//
41: 1342//2431//4213//3124//
42: 1342//4213//2134//3421//
43: 1342//4213//2431//3124//
44: 1342//4213//3124//2431//
45: 1342//4213//3421//2134//
46: 1342//4231//2413//3124//
47: 1342//4231//3124//2413//
48: 1423//2314//3142//4231//
49: 1423//2314//3241//4132//
50: 1423//2314//4132//3241//
51: 1423//2314//4231//3142//
52: 1423//2341//3214//4132//
53: 1423//2341//4132//3214//
54: 1423//3214//2341//4132//
55: 1423//3214//4132//2341//
56: 1423//3241//2134//4312//
57: 1423//3241//2314//4132//
58: 1423//3241//4132//2314//
59: 1423//3241//4312//2134//
60: 1432//2314//3241//4123//
61: 1432//2314//4123//3241//
62: 1432//2341//3124//4213//
63: 1432//2341//3214//4123//
64: 1432//2341//4123//3214//
65: 1432//2341//4213//3124//
66: 1432//3214//2143//4321//
67: 1432//3214//2341//4123//
68: 1432//3214//4123//2341//
69: 1432//3214//4321//2143//
70: 1432//3241//2314//4123//
71: 1432//3241//4123//2314//
72: 2134//3412//1243//4321//
73: 2134//3412//4321//1243//
74: 2134//3421//1243//4312//
75: 2134//3421//1342//4213//
76: 2134//3421//4213//1342//
77: 2134//3421//4312//1243//
78: 2134//4312//1243//3421//
79: 2134//4312//1423//3241//
80: 2134//4312//3241//1423//
81: 2134//4312//3421//1243//
